"id","code","name","parent_id:id"
"amap_poi_010000","010000","Automobile Service Related",""
"amap_poi_010100","010100","Filling Station","amap_poi_010000"
"amap_poi_010101","010101","Sinopec","amap_poi_010100"
"amap_poi_010102","010102","PetroChina","amap_poi_010100"
"amap_poi_010103","010103","Shell","amap_poi_010100"
"amap_poi_010104","010104","Mobil","amap_poi_010100"
"amap_poi_010105","010105","Caltex","amap_poi_010100"
"amap_poi_010107","010107","FEOSO","amap_poi_010100"
"amap_poi_010108","010108","BP PetroChina","amap_poi_010100"
"amap_poi_010109","010109","BP Sinopec","amap_poi_010100"
"amap_poi_010110","010110","TOTAL","amap_poi_010100"
"amap_poi_010111","010111","ESSO","amap_poi_010100"
"amap_poi_010112","010112","TOTAL-SINOCHEM","amap_poi_010100"
"amap_poi_010200","010200","Other Energy Station","amap_poi_010000"
"amap_poi_010300","010300","Filling Station","amap_poi_010000"
"amap_poi_010400","010400","Automobile Maintenance","amap_poi_010000"
"amap_poi_010401","010401","Add Water Station","amap_poi_010400"
"amap_poi_010500","010500","Car Wash","amap_poi_010000"
"amap_poi_010600","010600","Automobile Club","amap_poi_010000"
"amap_poi_010700","010700","Automobile Rescue","amap_poi_010000"
"amap_poi_010800","010800","Automobile Parts Sales","amap_poi_010000"
"amap_poi_010900","010900","Automobile Rental","amap_poi_010000"
"amap_poi_010901","010901","Rent-a-Car Return","amap_poi_010900"
"amap_poi_011000","011000","Used Automobile Dealer","amap_poi_010000"
"amap_poi_011100","011100","Charging Station","amap_poi_010000"
"amap_poi_020000","020000","Automobile Sales",""
"amap_poi_020100","020100","Volkswagen Sales","amap_poi_020000"
"amap_poi_020101","020101","Shanghai Volkswagen Sales","amap_poi_020100"
"amap_poi_020102","020102","FAW-Volkswagen Sales","amap_poi_020100"
"amap_poi_020103","020103","Skoda Sales","amap_poi_020100"
"amap_poi_020104","020104","Import Volkswagen Sales","amap_poi_020100"
"amap_poi_020105","020105","Bentley Sales","amap_poi_020100"
"amap_poi_020106","020106","Lamborghini Sales","amap_poi_020100"
"amap_poi_020200","020200","Honda Sales","amap_poi_020000"
"amap_poi_020201","020201","GAC Honda Sales","amap_poi_020200"
"amap_poi_020202","020202","Dongfeng Honda Sales","amap_poi_020200"
"amap_poi_020203","020203","Acura Sales","amap_poi_020200"
"amap_poi_020300","020300","Audi Sales","amap_poi_020000"
"amap_poi_020301","020301","FAW-Audi Sales","amap_poi_020300"
"amap_poi_020400","020400","General Motors Sales","amap_poi_020000"
"amap_poi_020401","020401","Cadillac Sales","amap_poi_020400"
"amap_poi_020402","020402","Buick Sales","amap_poi_020400"
"amap_poi_020403","020403","Chevrolet Sales","amap_poi_020400"
"amap_poi_020404","020404","Opel Sales","amap_poi_020400"
"amap_poi_020405","020405","Saab Sales","amap_poi_020400"
"amap_poi_020406","020406","Vauxhall Sales","amap_poi_020400"
"amap_poi_020407","020407","Saturn Sales","amap_poi_020400"
"amap_poi_020408","020408","Daewoo Sales","amap_poi_020400"
"amap_poi_020600","020600","BMW Sales","amap_poi_020000"
"amap_poi_020601","020601","BMW MINI Sales","amap_poi_020600"
"amap_poi_020602","020602","Rolls-Royce Sales","amap_poi_020600"
"amap_poi_020700","020700","Nissan Sales","amap_poi_020000"
"amap_poi_020701","020701","Dongfeng Nissan Sales","amap_poi_020700"
"amap_poi_020702","020702","Zhengzhou Nissan Sales","amap_poi_020700"
"amap_poi_020703","020703","Infiniti Sales","amap_poi_020700"
"amap_poi_020800","020800","Renault Sales","amap_poi_020000"
"amap_poi_020900","020900","Mercedes-Benz Sales","amap_poi_020000"
"amap_poi_020904","020904","Maybach Sales","amap_poi_020900"
"amap_poi_020905","020905","Smart Sales","amap_poi_020900"
"amap_poi_021000","021000","Toyota Sales","amap_poi_020000"
"amap_poi_021001","021001","FAW-Toyota Sales","amap_poi_021000"
"amap_poi_021002","021002","GAC Toyota Sales","amap_poi_021000"
"amap_poi_021003","021003","Lexus Sales","amap_poi_021000"
"amap_poi_021004","021004","Daihatsu Sales","amap_poi_021000"
"amap_poi_021100","021100","Subaru Sales","amap_poi_020000"
"amap_poi_021200","021200","Citroen Sales","amap_poi_020000"
"amap_poi_021201","021201","Dongfeng Citroen Sales","amap_poi_021200"
"amap_poi_021202","021202","Dongfeng Peugeot Sales","amap_poi_021200"
"amap_poi_021203","021203","DS Sales","amap_poi_021200"
